"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"File","Properties","Alt+Enter","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"File","Close","Ctrl+W","In Windows"
"Window","Activate Editor","F12","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Next Page","Alt+F7","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Edit","Delete","Delete","In Windows"
"File","New","Ctrl+N","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"File","Rename","F2","In Windows"
